dates,I,confirmed_by_pop
2021-03-01,189,8965.84440227704
2021-03-02,190,9013.282732447818
2021-03-03,190,9013.282732447818
2021-03-04,193,9155.597722960152
2021-03-05,193,9155.597722960152
2021-03-06,193,9155.597722960152
2021-03-07,193,9155.597722960152
2021-03-08,194,9203.03605313093
2021-03-09,194,9203.03605313093
2021-03-10,194,9203.03605313093
2021-03-11,195,9250.474383301707
2021-03-12,195,9250.474383301707
2021-03-13,195,9250.474383301707
2021-03-14,195,9250.474383301707
2021-03-15,195,9250.474383301707
2021-03-16,195,9250.474383301707
2021-03-17,195,9250.474383301707
2021-03-18,197,9345.351043643264
2021-03-19,197,9345.351043643264
2021-03-20,197,9345.351043643264
2021-03-21,197,9345.351043643264
2021-03-22,197,9345.351043643264
2021-03-23,198,9392.789373814041
2021-03-24,198,9392.789373814041
2021-03-25,196,9297.912713472486
2021-03-26,197,9345.351043643264
2021-03-27,197,9345.351043643264
2021-03-28,198,9392.789373814041
2021-03-29,198,9392.789373814041
2021-03-30,198,9392.789373814041
2021-03-31,199,9440.22770398482
2021-04-01,201,9535.104364326377
2021-04-02,201,9535.104364326377
2021-04-03,199,9440.22770398482
2021-04-04,202,9582.542694497153
2021-04-05,203,9629.981024667932
2021-04-06,203,9629.981024667932
2021-04-07,205,9724.857685009487
2021-04-08,204,9677.41935483871
2021-04-09,205,9724.857685009487
2021-04-10,204,9677.41935483871
2021-04-11,205,9724.857685009487
2021-04-12,206,9772.296015180265
2021-04-13,207,9819.734345351044
2021-04-14,208,9867.172675521822
2021-04-15,209,9914.611005692599
2021-04-16,211,10009.487666034156
2021-04-17,211,10009.487666034156
2021-04-18,211,10009.487666034156
2021-04-19,212,10056.925996204933
2021-04-20,213,10104.364326375711
2021-04-21,213,10104.364326375711
2021-04-22,215,10199.240986717268
2021-04-23,216,10246.679316888045
2021-04-24,216,10246.679316888045
2021-04-25,216,10246.679316888045
2021-04-26,217,10294.117647058823
2021-04-27,218,10341.555977229602
2021-04-28,218,10341.555977229602
2021-04-29,221,10483.870967741936
2021-04-30,221,10483.870967741936
2021-05-01,224,10626.18595825427
2021-05-02,225,10673.624288425048
2021-05-03,225,10673.624288425048
2021-05-04,226,10721.062618595826
2021-05-05,227,10768.500948766603
2021-05-06,227,10768.500948766603
2021-05-07,227,10768.500948766603
2021-05-08,228,10815.939278937381
2021-05-09,228,10815.939278937381
2021-05-10,228,10815.939278937381
2021-05-11,229,10863.37760910816
2021-05-12,228,10815.939278937381
2021-05-13,228,10815.939278937381
2021-05-14,229,10863.37760910816
2021-05-15,229,10863.37760910816
2021-05-16,229,10863.37760910816
2021-05-17,230,10910.815939278937
2021-05-18,231,10958.254269449715
2021-05-19,230,10910.815939278937
2021-05-20,230,10910.815939278937
2021-05-21,230,10910.815939278937
2021-05-22,230,10910.815939278937
2021-05-23,230,10910.815939278937
2021-05-24,232,11005.692599620494
2021-05-25,232,11005.692599620494
2021-05-26,234,11100.569259962049
2021-05-27,234,11100.569259962049
2021-05-28,234,11100.569259962049
2021-05-29,234,11100.569259962049
2021-05-30,234,11100.569259962049
2021-05-31,234,11100.569259962049
2021-06-01,234,11100.569259962049
2021-06-02,234,11100.569259962049
2021-06-03,234,11100.569259962049
2021-06-04,234,11100.569259962049
2021-06-05,234,11100.569259962049
2021-06-06,234,11100.569259962049
2021-06-07,235,11148.007590132827
2021-06-08,235,11148.007590132827
2021-06-09,235,11148.007590132827
2021-06-10,235,11148.007590132827
2021-06-11,235,11148.007590132827
2021-06-12,235,11148.007590132827
2021-06-13,235,11148.007590132827
2021-06-14,235,11148.007590132827
2021-06-15,235,11148.007590132827
2021-06-16,235,11148.007590132827
2021-06-17,236,11195.445920303606
2021-06-18,236,11195.445920303606
2021-06-19,236,11195.445920303606
2021-06-20,236,11195.445920303606
2021-06-21,236,11195.445920303606
2021-06-22,236,11195.445920303606
2021-06-23,237,11242.884250474382
2021-06-24,237,11242.884250474382
2021-06-25,237,11242.884250474382
2021-06-26,237,11242.884250474382
2021-06-27,237,11242.884250474382
2021-06-28,237,11242.884250474382
2021-06-29,237,11242.884250474382
2021-06-30,237,11242.884250474382
2021-07-01,237,11242.884250474382
2021-07-02,237,11242.884250474382
2021-07-03,237,11242.884250474382
2021-07-04,237,11242.884250474382
2021-07-05,237,11242.884250474382
2021-07-06,238,11290.322580645161
2021-07-07,238,11290.322580645161
2021-07-08,238,11290.322580645161
2021-07-09,239,11337.76091081594
2021-07-10,239,11337.76091081594
2021-07-11,239,11337.76091081594
2021-07-12,239,11337.76091081594
2021-07-13,239,11337.76091081594
2021-07-14,239,11337.76091081594
2021-07-15,239,11337.76091081594
2021-07-16,239,11337.76091081594
2021-07-17,239,11337.76091081594
2021-07-18,239,11337.76091081594
2021-07-19,239,11337.76091081594
2021-07-20,239,11337.76091081594
2021-07-21,239,11337.76091081594
2021-07-22,239,11337.76091081594
2021-07-23,239,11337.76091081594
2021-07-24,239,11337.76091081594
2021-07-25,240,11385.199240986718
2021-07-26,240,11385.199240986718
2021-07-27,240,11385.199240986718
2021-07-28,241,11432.637571157495
2021-07-29,243,11527.514231499052
2021-07-30,243,11527.514231499052
2021-07-31,243,11527.514231499052
2021-08-01,243,11527.514231499052
2021-08-02,243,11527.514231499052
2021-08-03,243,11527.514231499052
2021-08-04,244,11574.952561669828
2021-08-05,245,11622.390891840607
2021-08-06,245,11622.390891840607
2021-08-07,246,11669.829222011385
2021-08-08,246,11669.829222011385
2021-08-09,246,11669.829222011385
2021-08-10,246,11669.829222011385
2021-08-11,246,11669.829222011385
2021-08-12,247,11717.267552182164
2021-08-13,247,11717.267552182164
2021-08-14,249,11812.144212523719
2021-08-15,249,11812.144212523719
2021-08-16,249,11812.144212523719
2021-08-17,249,11812.144212523719
2021-08-18,249,11812.144212523719
2021-08-19,250,11859.582542694498
2021-08-20,250,11859.582542694498
2021-08-21,250,11859.582542694498
2021-08-22,251,11907.020872865276
2021-08-23,251,11907.020872865276
2021-08-24,252,11954.459203036053
2021-08-25,254,12049.33586337761
2021-08-26,256,12144.212523719165
2021-08-27,260,12333.965844402277
2021-08-28,261,12381.404174573056
2021-08-29,262,12428.842504743832
2021-08-30,263,12476.28083491461
2021-08-31,266,12618.595825426944
2021-09-01,268,12713.472485768501
2021-09-02,270,12808.349146110057
2021-09-03,272,12903.225806451614
2021-09-04,279,13235.29411764706
2021-09-05,279,13235.29411764706
2021-09-06,278,13187.855787476281
2021-09-07,278,13187.855787476281
2021-09-08,280,13282.732447817836
2021-09-09,283,13425.047438330172
2021-09-10,284,13472.485768500948
2021-09-11,288,13662.23908918406
2021-09-12,289,13709.677419354839
2021-09-13,288,13662.23908918406
2021-09-14,290,13757.115749525618
2021-09-15,293,13899.430740037951
2021-09-16,296,14041.745730550285
2021-09-17,297,14089.184060721063
2021-09-18,298,14136.62239089184
2021-09-19,301,14278.937381404174
2021-09-20,301,14278.937381404174
2021-09-21,301,14278.937381404174
2021-09-22,300,14231.499051233397
2021-09-23,301,14278.937381404174
2021-09-24,301,14278.937381404174
2021-09-25,303,14373.81404174573
2021-09-26,305,14468.690702087286
2021-09-27,306,14516.129032258064
2021-09-28,308,14611.005692599621
2021-09-29,309,14658.444022770398
2021-09-30,310,14705.882352941177
2021-10-01,311,14753.320683111955
2021-10-02,313,14848.19734345351
2021-10-03,313,14848.19734345351
2021-10-04,316,14990.512333965844
2021-10-05,320,15180.265654648956
2021-10-06,321,15227.703984819735
2021-10-07,323,15322.58064516129
2021-10-08,323,15322.58064516129
2021-10-09,325,15417.457305502847
2021-10-10,325,15417.457305502847
2021-10-11,327,15512.333965844402
2021-10-12,327,15512.333965844402
2021-10-13,329,15607.210626185959
2021-10-14,331,15702.087286527514
2021-10-15,331,15702.087286527514
2021-10-16,331,15702.087286527514
2021-10-17,331,15702.087286527514
2021-10-18,331,15702.087286527514
2021-10-19,332,15749.525616698293
2021-10-20,333,15796.96394686907
2021-10-21,334,15844.402277039848
2021-10-22,334,15844.402277039848
2021-10-23,335,15891.840607210626
2021-10-24,335,15891.840607210626
2021-10-25,335,15891.840607210626
2021-10-26,335,15891.840607210626
2021-10-27,334,15844.402277039848
2021-10-28,336,15939.278937381405
2021-10-29,336,15939.278937381405
2021-10-30,336,15939.278937381405
2021-10-31,337,15986.717267552182
2021-11-01,337,15986.717267552182
2021-11-02,337,15986.717267552182
2021-11-03,337,15986.717267552182
2021-11-04,339,16081.593927893739
2021-11-05,341,16176.470588235294
2021-11-06,343,16271.34724857685
2021-11-07,343,16271.34724857685
2021-11-08,347,16461.10056925996
2021-11-09,348,16508.53889943074
2021-11-10,350,16603.415559772297
2021-11-11,352,16698.292220113854
2021-11-12,352,16698.292220113854
2021-11-13,352,16698.292220113854
2021-11-14,354,16793.168880455407
2021-11-15,355,16840.607210626185
2021-11-16,356,16888.045540796964
2021-11-17,362,17172.67552182163
2021-11-18,367,17409.86717267552
2021-11-19,368,17457.3055028463
2021-11-20,373,17694.49715370019
2021-11-21,373,17694.49715370019
2021-11-22,373,17694.49715370019
2021-11-23,379,17979.12713472486
2021-11-24,379,17979.12713472486
2021-11-25,380,18026.565464895637
2021-11-26,381,18074.003795066415
2021-11-27,381,18074.003795066415
2021-11-28,381,18074.003795066415
2021-11-29,384,18216.318785578747
2021-11-30,387,18358.633776091083
