FIPS,Admin2,Population,Death by 03/09/2023,deaths_by_pop
28115,Pontotoc,32174,159,494.1878535
21089,Greenup,35098,159,453.0172659
37003,Alexander,37497,159,424.0339227
39021,Champaign,38885,159,408.8980327
42119,Union,44923,159,353.9389622
28137,Tate,28321,158,557.889905
48363,Palo Pinto,29189,158,541.2998047
45089,Williamsburg,30368,158,520.28451
22089,St. Charles,53100,158,297.5517891
39009,Athens,65327,158,241.8601803
37135,Orange,148476,158,106.4145047
40049,Garvin,27711,157,566.5620151
22047,Iberville,32511,157,482.9134754
48477,Washington,35882,157,437.5452873
19181,Warren,51466,157,305.055765
36113,Warren,63944,157,245.5273364
6033,Lake,64386,157,243.841829
45033,Dillon,30479,156,511.8278159
31157,Scotts Bluff,35618,156,437.9807962
18031,Decatur,26559,155,583.6063105
48273,Kleberg,30680,155,505.2151239
48025,Bee,32565,155,475.9711347
55005,Barron,45244,155,342.5868623
27049,Goodhue,46340,155,334.4842469
36039,Greene,47188,155,328.4733407
51095,James City,76523,155,202.5534807
29221,Washington,24730,154,622.7254347
12003,Baker,29210,154,527.2167066
1059,Franklin,31362,154,491.0401122
39123,Ottawa,40525,154,380.0123381
17063,Grundy,51054,154,301.6413993
37141,Pender,63060,154,244.2118617
36105,Sullivan,75432,154,204.1573868
56029,Park,29194,153,524.0802905
28001,Adams,30693,153,498.4849966
51730,Petersburg,31346,153,488.1005551
18055,Greene,31922,153,479.2932774
29101,Johnson,54062,153,283.0083978
28057,Itawamba,23390,152,649.8503634
35029,Luna,23709,152,641.1067527
28091,Marion,24573,152,618.5650918
13055,Chattooga,24789,152,613.1751987
48463,Uvalde,26741,152,568.4155417
54029,Hancock,28810,152,527.5945852
29207,Stoddard,29025,152,523.6864772
40081,Lincoln,34877,152,435.8173008
55085,Oneida,35595,152,427.0262677
27067,Kandiyohi,43199,152,351.8599968
32007,Elko,52778,152,287.9987874
54037,Jefferson,57146,152,265.9853708
21137,Lincoln,24549,151,615.0963379
21085,Grayson,26427,151,571.3853256
13225,Peach,27546,151,548.1739636
29009,Barry,35789,151,421.9173489
51027,Buchanan,21004,150,714.1496858
18137,Ripley,28324,150,529.5862166
39079,Jackson,32413,150,462.7772807
18029,Dearborn,49458,150,303.287638
48233,Hutchinson,20938,149,711.624797
37017,Bladen,32722,149,455.3511399
19111,Lee,33657,149,442.7013697
54099,Wayne,39402,149,378.1533932
55075,Marinette,40350,149,369.2688971
17117,Macoupin,44926,149,331.6565018
40013,Bryan,47995,149,310.4490051
31019,Buffalo,49659,149,300.0463159
55021,Columbia,57532,149,258.9863033
36079,Putnam,98320,149,151.5459723
5023,Cleburne,24919,148,593.9243148
37123,Montgomery,27173,148,544.6583005
8087,Morgan,29068,148,509.1509564
51117,Mecklenburg,30587,148,483.8656946
37165,Scotland,34823,148,425.0064612
20037,Crawford,38818,148,381.2664228
29027,Callaway,44743,148,330.7779988
22003,Allen,25627,147,573.6137667
17049,Effingham,34008,147,432.251235
31111,Lincoln,34914,147,421.034542
39107,Mercer,41172,147,357.0387642
13081,Crisp,22372,146,652.6014661
21217,Taylor,25769,146,566.572238
22031,De Soto,27463,146,531.6243673
18023,Clinton,32399,146,450.6311923
29107,Lafayette,32708,146,446.3739758
48097,Cooke,41257,146,353.8793417
36053,Madison,70941,146,205.8048237
22067,Morehouse,24874,145,582.9380076
47185,White,27345,145,530.2614738
54077,Preston,33432,145,433.7162
17105,Livingston,35648,145,406.7549372
22011,Beauregard,37497,145,386.6976025
40087,McClain,40474,145,358.254682
39097,Madison,44731,145,324.1599785
27019,Carver,105089,145,137.9782851
47049,Fentress,18523,144,777.4118663
13229,Pierce,19465,144,739.7893655
22111,Union,22108,144,651.3479284
40133,Seminole,24258,144,593.6186
13267,Tattnall,25286,144,569.4850906
47109,McNairy,25694,144,560.4421266
13087,Decatur,26404,144,545.3719133
18179,Wells,28296,144,508.9058524
37197,Yadkin,37667,144,382.2975018
18071,Jackson,44231,144,325.5635188
51169,Scott,21566,143,663.0807753
12129,Wakulla,33739,143,423.8418447
47021,Cheatham,40667,143,351.636462
17077,Jackson,56750,143,251.9823789
6045,Mendocino,86749,143,164.8433988
28043,Grenada,20758,142,684.0736102
20113,McPherson,28542,142,497.5124378
38059,Morton,31364,142,452.7483739
1109,Pike,33114,142,428.8216464
42035,Clinton,38632,142,367.5709257
13303,Washington,20374,141,692.0585059
1133,Winston,23629,141,596.7243641
12049,Hardee,26937,141,523.4435906
47115,Marion,28907,141,487.7711281
39053,Gallia,29898,141,471.6034517
27007,Beltrami,47188,141,298.8047809
36017,Chenango,47207,141,298.6845171
17141,Ogle,50643,141,278.4195249
36051,Livingston,62914,141,224.1154592
47151,Scott,22068,140,634.4027551
47069,Hardeman,25050,140,558.8822355
21141,Logan,27102,140,516.567043
27041,Douglas,38141,140,367.0590703
6009,Calaveras,45905,140,304.9776713
13039,Camden,54666,140,256.1006842
37093,Hoke,55234,140,253.4670674
27027,Clay,64222,140,217.9938339
21133,Letcher,21553,139,644.9218206
28027,Coahoma,22124,139,628.2769843
5111,Poinsett,23528,139,590.7854471
48419,Shelby,25274,139,549.9723036
51167,Russell,26586,139,522.8315655
13187,Lumpkin,33610,139,413.5673907
17057,Fulton,34340,139,404.7757717
30093,Silver Bow,34915,139,398.109695
56037,Sweetwater,42343,139,328.2714971
19139,Muscatine,42664,139,325.8016126
21115,Johnson,22188,138,621.957815
48365,Panola,23194,138,594.9814607
39131,Pike,27772,138,496.9033559
29069,Dunklin,29131,138,473.7221517
17137,Morgan,33658,138,410.0065363
37113,Macon,35858,138,384.8513581
18133,Putnam,37576,138,367.2556951
53047,Okanogan,42243,138,326.6813437
55015,Calumet,50089,138,275.5095929
12087,Monroe,74228,138,185.9136714
8089,Otero,18278,137,749.5349601
18119,Owen,20799,137,658.6855137
48489,Willacy,21358,137,641.4458283
48293,Limestone,23437,137,584.5458036
37039,Cherokee,28612,137,478.8200755
48449,Titus,32750,137,418.3206107
47117,Marshall,34375,137,398.5454545
20079,Harvey,34429,137,397.9203578
37181,Vance,44535,137,307.6232177
36115,Washington,61204,137,223.841579
13001,Appling,18386,136,739.6932449
48337,Montague,19818,136,686.2448279
54109,Wyoming,20394,136,666.8628028
51790,Staunton,24932,136,545.4837157
39019,Carroll,26914,136,505.3132199
28145,Union,28815,136,471.9764012
40115,Ottawa,31127,136,436.919716
17011,Bureau,32628,136,416.8199093
20111,Lyon,33195,136,409.7002561
19125,Marion,33253,136,408.9856554
19127,Marshall,39369,136,345.4494653
51199,York,68280,136,199.1798477
54059,Mingo,23424,135,576.3319672
28133,Sunflower,25110,135,537.6344086
26051,Gladwin,25449,135,530.4727101
27095,Mille Lacs,26277,135,513.7572782
29127,Marion,28530,135,473.1861199
21177,Muhlenberg,30622,135,440.8595128
17157,Randolph,31782,135,424.768737
17133,Monroe,34637,135,389.7566186
55083,Oconto,37930,135,355.9187978
46013,Brown,38839,135,347.5887639
37139,Pasquotank,39824,135,338.9915629
42115,Susquehanna,40328,135,334.7550089
36023,Cortland,47581,135,283.7266976
17073,Henry,48913,135,276.0002453
27025,Chisago,56579,135,238.6044292
6115,Yuba,78668,135,171.6072609
47133,Overton,22241,134,602.4908952
39047,Fayette,28525,134,469.7633655
33007,Coos,31563,134,424.5477299
39127,Perry,36134,134,370.8418664
48259,Kendall,47431,134,282.5156543
33005,Cheshire,76085,134,176.1188145
30031,Gallatin,114434,134,117.0980653
40091,McIntosh,19596,133,678.7099408
48179,Gray,21886,133,607.6944165
51139,Page,23902,133,556.4387917
55019,Clark,34774,133,382.4696612
8014,Broomfield,70465,133,188.746186
6057,Nevada,99755,133,133.3266503
1013,Butler,19448,132,678.7330317
39073,Hocking,28264,132,467.0251911
29209,Stone,31952,132,413.1196795
27059,Isanti,40596,132,325.1551877
48143,Erath,42698,132,309.1479695
55095,Polk,43783,132,301.4868785
29169,Pulaski,52607,132,250.9171783
36019,Clinton,80485,132,164.0057154
13171,Lamar,19077,131,686.6907795
51105,Lee,23423,131,559.2793408
26043,Dickinson,25239,131,519.0379968
26031,Cheboygan,25276,131,518.2782086
17075,Iroquois,27114,131,483.1452386
36073,Orleans,40352,131,324.6431404
24035,Queen Anne's,50381,131,260.0186578
37037,Chatham,74470,131,175.9097623
29049,Clinton,20387,130,637.6612547
26143,Roscommon,24019,130,541.2381864
2122,Kenai Peninsula,58708,130,221.4348981
29131,Miller,25619,129,503.5325344
28029,Copiah,28065,129,459.6472475
21157,Marshall,31100,129,414.7909968
26165,Wexford,33631,129,383.5746781
51093,Isle of Wight,37109,129,347.6245655
26107,Mecosta,43453,129,296.8724829
37077,Granville,60443,129,213.4242179
21173,Montgomery,28157,128,454.5938843
48185,Grimes,28880,128,443.2132964
27119,Polk,31364,128,408.1112103
20055,Finney,36467,128,351.002276
13281,Towns,12037,127,1055.080169
48279,Lamb,12893,127,985.0306368
13205,Mitchell,21863,127,580.8900883
28079,Leake,22786,127,557.3597823
22085,Sabine,23884,127,531.7367275
13169,Jones,28735,127,441.9697233
17007,Boone,53544,127,237.188107
51690,Martinsville,12554,126,1003.664171
12125,Union,15237,126,826.9344359
5103,Ouachita,23382,126,538.8760585
41045,Malheur,30571,126,412.1553106
18151,Steuben,34594,126,364.2250101
27013,Blue Earth,67653,126,186.2445124
13017,Ben Hill,16700,125,748.502994
13321,Worth,20247,125,617.3754136
29141,Morgan,20627,125,606.0018422
21003,Allen,21315,125,586.4414731
51670,Hopewell,22529,125,554.8404279
29007,Audrain,25388,125,492.3585946
13145,Harris,35236,125,354.750823
38035,Grand Forks,69451,125,179.9830096
28007,Attala,18174,124,682.2933862
48285,Lavaca,20154,124,615.2624789
13033,Burke,22383,124,553.9918688
12133,Washington,25473,124,486.7899344
20009,Barton,25779,124,481.0116762
24023,Garrett,29014,124,427.3798856
27017,Carlton,35871,124,345.6831424
19099,Jasper,37185,124,333.4677962
37059,Davie,42846,124,289.4085796
21209,Scott,57004,124,217.5285945
53029,Island,85141,124,145.6407606
5135,Sharp,17442,123,705.1943584
51141,Patrick,17608,123,698.5461154
28141,Tishomingo,19383,123,634.5766909
21183,Ohio,23994,123,512.628157
32001,Churchill,24909,123,493.7974226
47081,Hickman,25178,123,488.5217253
21043,Carter,26797,123,459.0066052
28123,Scott,28124,123,437.3488835
5015,Carroll,28380,123,433.4038055
13195,Madison,29880,123,411.6465863
20057,Ford,33619,123,365.8645409
23025,Somerset,50484,123,243.6415498
41009,Columbia,52354,123,234.9390686
13163,Jefferson,15362,122,794.1674261
28031,Covington,18636,122,654.6469199
1107,Pickens,19930,122,612.1424987
47057,Grainger,23320,122,523.1560892
27085,McLeod,35893,122,339.8991447
13105,Elbert,19194,121,630.405335
26129,Ogemaw,20997,121,576.2728009
48225,Houston,22968,121,526.8199234
42131,Wyoming,26794,121,451.5936404
42047,Elk,29910,121,404.5469743
29167,Polk,32149,121,376.3725155
17203,Woodford,38459,121,314.620765
48133,Eastland,18360,120,653.5947712
48171,Gillespie,26988,120,444.6420631
27097,Morrison,33386,120,359.4320973
18001,Adams,35777,120,335.4110183
42059,Greene,36233,120,331.1897994
26033,Chippewa,37349,120,321.2937428
37145,Person,39490,120,303.8743986
22087,St. Bernard,47244,120,254.000508
40079,Le Flore,49853,120,240.7076806
8075,Logan,22409,119,531.0366371
18079,Jennings,27735,119,429.0607536
55123,Vernon,30822,119,386.0878593
17021,Christian,32304,119,368.3754334
51001,Accomack,32316,119,368.2386434
23009,Hancock,54987,119,216.414789
21161,Mason,17070,118,691.2712361
48117,Deaf Smith,18546,118,636.2557964
5149,Yell,21341,118,552.9262921
21167,Mercer,21933,118,538.0020973
29195,Saline,22761,118,518.4306489
48149,Fayette,25346,118,465.5566953
28163,Yazoo,29690,118,397.4402156
51023,Botetourt,33419,118,353.0925521
17027,Clinton,37562,118,314.1472765
22013,Bienville,13241,117,883.619062
28139,Tippah,22015,117,531.4558256
29055,Crawford,23920,117,489.1304348
26137,Otsego,24668,117,474.2986866
45069,Marlboro,26118,117,447.9669194
26105,Mason,29144,117,401.4548449
13219,Oconee,40280,117,290.4667329
40135,Sequoyah,41569,117,281.4597416
39159,Union,58988,117,198.3454262
6069,San Benito,62808,117,186.2820023
1091,Marengo,18863,116,614.9605047
13025,Brantley,19109,116,607.0438014
29217,Vernon,20563,116,564.1200214
12123,Taylor,21569,116,537.8088924
45039,Fairfield,22347,116,519.0853358
13119,Franklin,23349,116,496.8092852
40065,Jackson,24530,116,472.8903384
29175,Randolph,24748,116,468.7247454
24019,Dorchester,31929,116,363.3060854
29219,Warren,35649,116,325.3948217
46083,Lincoln,61128,116,189.7657375
29073,Gasconade,14706,115,781.9937441
21001,Adair,19202,115,598.8959483
18049,Fulton,19974,115,575.748473
48341,Moore,20940,115,549.1881566
13237,Putnam,22119,115,519.9150052
18143,Scott,23873,115,481.7157458
54067,Nicholas,24496,115,469.4644024
28117,Prentiss,25126,115,457.6932261
35017,Grant,26998,115,425.9574783
24041,Talbot,37181,115,309.2977596
51073,Gloucester,37348,115,307.9147478
49045,Tooele,72259,115,159.1497253
13189,McDuffie,21312,114,534.9099099
13131,Grady,24633,114,462.7938132
19149,Plymouth,25177,114,452.7942169
47097,Lauderdale,25633,114,444.7392034
39069,Henry,27006,114,422.1284159
29015,Benton,19443,113,581.186031
47041,DeKalb,20490,113,551.488531
37007,Anson,24446,113,462.2433118
51775,Salem,25301,113,446.6226631
29215,Texas,25398,113,444.9169226
13177,Lee,29992,113,376.7671379
39117,Morrow,35328,113,319.8596014
55081,Monroe,46253,113,244.3084773
41041,Lincoln,49962,113,226.1718906
28023,Clarke,15541,112,720.6743453
51570,Colonial Heights,17370,112,644.7898676
48123,DeWitt,20160,112,555.5555556
54009,Brooke,21939,112,510.5064041
18149,Starke,22995,112,487.0624049
13147,Hart,26205,112,427.3993513
17135,Montgomery,28414,112,394.1718871
13029,Bryan,39627,112,282.6355768
48473,Waller,55246,112,202.7296094
42103,Pike,55809,112,200.6844774
13023,Bleckley,12873,111,862.2698672
12013,Calhoun,14105,111,786.9549805
51005,Alleghany,14860,111,746.9717362
18045,Fountain,16346,111,679.0652147
51520,Bristol,16762,111,662.2121465
47091,Johnson,17788,111,624.0161907
39175,Wyandot,21772,111,509.8291383
54053,Mason,26516,111,418.6151757
51009,Amherst,31605,111,351.2102515
13043,Candler,10803,110,1018.235675
1041,Crenshaw,13772,110,798.7220447
1065,Hale,14651,110,750.801993
35041,Roosevelt,18500,110,594.5945946
21099,Hart,19035,110,577.8828474
21051,Clay,19901,110,552.7360434
