dates,I,confirmed_by_pop
2021-03-03,87,11709.2866756393
2021-03-04,87,11709.2866756393
2021-03-05,87,11709.2866756393
2021-03-06,87,11709.2866756393
2021-03-07,87,11709.2866756393
2021-03-08,87,11709.2866756393
2021-03-09,87,11709.2866756393
2021-03-10,87,11709.2866756393
2021-03-11,87,11709.2866756393
2021-03-12,87,11709.2866756393
2021-03-13,87,11709.2866756393
2021-03-14,87,11709.2866756393
2021-03-15,87,11709.2866756393
2021-03-16,87,11709.2866756393
2021-03-17,87,11709.2866756393
2021-03-18,87,11709.2866756393
2021-03-19,88,11843.876177658143
2021-03-20,88,11843.876177658143
2021-03-21,88,11843.876177658143
2021-03-22,88,11843.876177658143
2021-03-23,88,11843.876177658143
2021-03-24,88,11843.876177658143
2021-03-25,88,11843.876177658143
2021-03-26,88,11843.876177658143
2021-03-27,88,11843.876177658143
2021-03-28,88,11843.876177658143
2021-03-29,88,11843.876177658143
2021-03-30,88,11843.876177658143
2021-03-31,88,11843.876177658143
2021-04-01,88,11843.876177658143
2021-04-02,88,11843.876177658143
2021-04-03,88,11843.876177658143
2021-04-04,88,11843.876177658143
2021-04-05,88,11843.876177658143
2021-04-06,88,11843.876177658143
2021-04-07,88,11843.876177658143
2021-04-08,88,11843.876177658143
2021-04-09,88,11843.876177658143
2021-04-10,88,11843.876177658143
2021-04-11,88,11843.876177658143
2021-04-12,88,11843.876177658143
2021-04-13,88,11843.876177658143
2021-04-14,88,11843.876177658143
2021-04-15,88,11843.876177658143
2021-04-16,88,11843.876177658143
2021-04-17,88,11843.876177658143
2021-04-18,88,11843.876177658143
2021-04-19,88,11843.876177658143
2021-04-20,88,11843.876177658143
2021-04-21,88,11843.876177658143
2021-04-22,88,11843.876177658143
2021-04-23,88,11843.876177658143
2021-04-24,88,11843.876177658143
2021-04-25,88,11843.876177658143
2021-04-26,88,11843.876177658143
2021-04-27,88,11843.876177658143
2021-04-28,88,11843.876177658143
2021-04-29,88,11843.876177658143
2021-04-30,88,11843.876177658143
2021-05-01,88,11843.876177658143
2021-05-02,88,11843.876177658143
2021-05-03,88,11843.876177658143
2021-05-04,88,11843.876177658143
2021-05-05,88,11843.876177658143
2021-05-06,88,11843.876177658143
2021-05-07,88,11843.876177658143
2021-05-08,88,11843.876177658143
2021-05-09,88,11843.876177658143
2021-05-10,88,11843.876177658143
2021-05-11,88,11843.876177658143
2021-05-12,88,11843.876177658143
2021-05-13,88,11843.876177658143
2021-05-14,88,11843.876177658143
2021-05-15,88,11843.876177658143
2021-05-16,88,11843.876177658143
2021-05-17,88,11843.876177658143
2021-05-18,88,11843.876177658143
2021-05-19,88,11843.876177658143
2021-05-20,88,11843.876177658143
2021-05-21,88,11843.876177658143
2021-05-22,88,11843.876177658143
2021-05-23,89,11978.465679676985
2021-05-24,89,11978.465679676985
2021-05-25,89,11978.465679676985
2021-05-26,89,11978.465679676985
2021-05-27,89,11978.465679676985
2021-05-28,89,11978.465679676985
2021-05-29,89,11978.465679676985
2021-05-30,89,11978.465679676985
2021-05-31,89,11978.465679676985
2021-06-01,89,11978.465679676985
2021-06-02,89,11978.465679676985
2021-06-03,89,11978.465679676985
2021-06-04,89,11978.465679676985
2021-06-05,89,11978.465679676985
2021-06-06,89,11978.465679676985
2021-06-07,89,11978.465679676985
2021-06-08,89,11978.465679676985
2021-06-09,89,11978.465679676985
2021-06-10,89,11978.465679676985
2021-06-11,89,11978.465679676985
2021-06-12,89,11978.465679676985
2021-06-13,89,11978.465679676985
2021-06-14,89,11978.465679676985
2021-06-15,89,11978.465679676985
2021-06-16,89,11978.465679676985
2021-06-17,89,11978.465679676985
2021-06-18,89,11978.465679676985
2021-06-19,89,11978.465679676985
2021-06-20,90,12113.055181695827
2021-06-21,90,12113.055181695827
2021-06-22,90,12113.055181695827
2021-06-23,90,12113.055181695827
2021-06-24,90,12113.055181695827
2021-06-25,90,12113.055181695827
2021-06-26,90,12113.055181695827
2021-06-27,90,12113.055181695827
2021-06-28,90,12113.055181695827
2021-06-29,90,12113.055181695827
2021-06-30,90,12113.055181695827
2021-07-01,90,12113.055181695827
2021-07-02,90,12113.055181695827
2021-07-03,90,12113.055181695827
2021-07-04,90,12113.055181695827
