Dates,pcr_target_flowpop_lin,cumulative_death_JH,pcr_target_flowpop_lin_log10,cumulative_death_JH_log10
235,320396.26,147,5.505687432,2.167317335
236,311689.84,117,5.49372264,2.068185862
237,14191742.83,124,7.152035733,2.093421685
238,0,130,0,2.113943352
239,16540681.55,134,7.2185534,2.127104798
240,0,137,0,2.136720567
241,293841.67,139,5.468113391,2.1430148
242,337809.1,140,5.528671339,2.146128036
243,8281679.62,142,6.918118426,2.152288344
244,0,144,0,2.158362492
245,15456384.11,147,7.189107902,2.167317335
246,361751.75,149,5.558410642,2.173186268
247,0,149,0,2.173186268
248,55763072.73,146,7.746346697,2.164352856
249,0,146,0,2.164352856
250,14080164.23,146,7.148607721,2.164352856
251,0,146,0,2.164352856
252,0,146,0,2.164352856
253,4170346.04,146,6.620172093,2.164352856
254,0,146,0,2.164352856
255,17557023.82,148,7.244450898,2.170261715
256,0,148,0,2.170261715
257,32164815.66,148,7.507381067,2.170261715
258,0,148,0,2.170261715
259,20992282.38,148,7.32205966,2.170261715
260,0,148,0,2.170261715
261,19292793.27,148,7.285395111,2.170261715
262,328232.03,148,5.516180964,2.170261715
263,0,148,0,2.170261715
264,6852752.64,148,6.835865055,2.170261715
265,0,148,0,2.170261715
266,3883530.57,148,6.589226728,2.170261715
267,303418.74,117,5.482042396,2.068185862
268,0,123,0,2.089905111
269,283829.29,131,5.453057214,2.117271296
270,0,134,0,2.127104798
271,3784493.17,137,6.578007725,2.136720567
272,266416.45,139,5.42556104,2.1430148
273,0,140,0,2.146128036
274,296018.28,142,5.471318531,2.152288344
275,0,144,0,2.158362492
276,10463394.48,147,7.019672599,2.167317335
277,0,149,0,2.173186268
278,0,149,0,2.173186268
279,8126672.22,149,6.909912744,2.173186268
280,0,149,0,2.173186268
281,13859318.69,149,7.141741881,2.173186268
282,58448415.56,149,7.766772743,2.173186268
283,0,149,0,2.173186268
284,0,149,0,2.173186268
285,47992205.11,149,7.681170705,2.173186268
286,229414.17,149,5.360620233,2.173186268
287,0,149,0,2.173186268
288,23939596.63,149,7.379116828,2.173186268
289,244215.08,149,5.387772479,2.173186268
290,6252643.71,149,6.796063682,2.173186268
291,225060.96,149,5.352300161,2.173186268
292,255533.43,149,5.407447719,2.173186268
293,30215718.02,149,7.480232919,2.173186268
294,0,149,0,2.173186268
295,23461237.09,149,7.370350908,2.173186268
296,213307.29,149,5.329005698,2.173186268
297,0,117,0,2.068185862
298,13972049.05,123,7.145260102,2.089905111
299,0,131,0,2.117271296
300,8683822.37,134,6.938710931,2.127104798
301,0,137,0,2.136720567
302,0,139,0,2.1430148
303,207648.12,140,5.317327997,2.146128036
304,0,142,0,2.152288344
305,20629712.84,144,7.314493183,2.158362492
306,0,147,0,2.167317335
307,0,149,0,2.173186268
308,82545278.12,149,7.916692235,2.173186268
309,0,149,0,2.173186268
310,99421019.9,149,7.997478214,2.173186268
311,0,149,0,2.173186268
312,0,149,0,2.173186268
313,69974941.04,149,7.844942541,2.173186268
314,0,149,0,2.173186268
315,68359594.37,149,7.834799477,2.173186268
316,0,149,0,2.173186268
317,0,149,0,2.173186268
318,48579204.45,149,7.686450398,2.173186268
319,0,149,0,2.173186268
320,92018777.05,149,7.963876457,2.173186268
321,0,149,0,2.173186268
322,0,149,0,2.173186268
323,67926126.1,149,7.832036847,2.173186268
324,0,149,0,2.173186268
325,74734118.56,149,7.873518917,2.173186268
326,0,149,0,2.173186268
327,0,149,0,2.173186268
328,82012483.79,149,7.913879965,2.173186268
329,0,149,0,2.173186268
330,46511789.34,155,7.667563047,2.190331698
331,0,149,0,2.173186268
332,0,149,0,2.173186268
333,0,149,0,2.173186268
334,108735870.6,149,8.036372836,2.173186268
335,5602361.14,149,6.748371101,2.173186268
336,0,149,0,2.173186268
337,4978954.43,149,6.697138151,2.173186268
338,0,149,0,2.173186268
339,35312102.52,149,7.547923577,2.173186268
340,0,149,0,2.173186268
341,0,149,0,2.173186268
342,33363799.82,149,7.523275507,2.173186268
343,0,149,0,2.173186268
344,19494518.98,149,7.289912524,2.173186268
345,0,149,0,2.173186268
346,0,149,0,2.173186268
347,27102944.37,149,7.433016474,2.173186268
348,0,149,0,2.173186268
