,date,cc_data,,dates,I
sc_884,2021-03-18,20,,2021-03-18,33.37586845
sc_884,2021-03-19,37,,2021-03-19,32.85750883
sc_884,2021-03-20,23,,2021-03-20,32.25646049
sc_884,2021-03-21,17,,2021-03-21,31.58330745
sc_884,2021-03-22,102,,2021-03-22,30.91304479
sc_884,2021-03-23,89,,2021-03-23,30.33235095
sc_884,2021-03-24,35,,2021-03-24,29.90604452
sc_884,2021-03-25,46,,2021-03-25,29.65609532
sc_884,2021-03-26,46,,2021-03-26,29.56303831
sc_884,2021-03-27,23,,2021-03-27,29.58045295
sc_884,2021-03-28,21,,2021-03-28,29.65645855
sc_884,2021-03-29,86,,2021-03-29,29.76699519
sc_884,2021-03-30,31,,2021-03-30,29.93469067
sc_884,2021-03-31,18,,2021-03-31,30.19142076
sc_884,2021-04-01,25,,2021-04-01,30.57369476
sc_884,2021-04-02,68,,2021-04-02,31.10736845
sc_884,2021-04-03,16,,2021-04-03,31.79616053
sc_884,2021-04-04,25,,2021-04-04,32.61510929
sc_884,2021-04-05,84,,2021-04-05,33.50998896
sc_884,2021-04-06,54,,2021-04-06,34.40854219
sc_884,2021-04-07,25,,2021-04-07,35.24043179
sc_884,2021-04-08,27,,2021-04-08,35.97078705
sc_884,2021-04-09,33,,2021-04-09,36.65339629
sc_884,2021-04-10,19,,2021-04-10,37.47017916
sc_884,2021-04-11,13,,2021-04-11,38.51599475
sc_884,2021-04-12,57,,2021-04-12,39.73738431
sc_884,2021-04-13,32,,2021-04-13,41.01307804
sc_884,2021-04-14,11,,2021-04-14,42.21020831
sc_884,2021-04-15,23,,2021-04-15,43.21916633
sc_884,2021-04-16,14,,2021-04-16,43.97687926
sc_884,2021-04-17,15,,2021-04-17,44.4684545
sc_884,2021-04-18,8,,2021-04-18,44.72185685
sc_884,2021-04-19,47,,2021-04-19,44.79795935
sc_884,2021-04-20,14,,2021-04-20,44.77471245
sc_884,2021-04-21,15,,2021-04-21,44.70951146
sc_884,2021-04-22,25,,2021-04-22,44.57523625
sc_884,2021-04-23,15,,2021-04-23,44.29963297
sc_884,2021-04-24,14,,2021-04-24,43.81286987
sc_884,2021-04-25,16,,2021-04-25,43.07828215
sc_884,2021-04-26,23,,2021-04-26,42.11400914
sc_884,2021-04-27,11,,2021-04-27,40.99863983
sc_884,2021-04-28,20,,2021-04-28,39.8469369
sc_884,2021-04-29,10,,2021-04-29,38.76631575
sc_884,2021-04-30,7,,2021-04-30,37.78548539
sc_884,2021-05-01,32,,2021-05-01,36.7901621
sc_884,2021-05-02,7,,2021-05-02,35.67959566
sc_884,2021-05-03,15,,2021-05-03,34.43696058
sc_884,2021-05-04,8,,2021-05-04,33.08925928
sc_884,2021-05-05,0,,2021-05-05,31.68302058
sc_884,2021-05-06,27,,2021-05-06,30.26964004
sc_884,2021-05-07,9,,2021-05-07,28.89709236
sc_884,2021-05-08,0,,2021-05-08,27.60500403
