county,county_population,covid_cases_per_100k
Bolivar County,1960192.0,7816.29
Bollinger County,776512.0,7310.63
Bon Homme County,441664.0,5013.7
Bond County,1051264.0,6447.14
Bonner County,2927296.0,4578.17
Bonneville County,7619968.0,4554.77
Boone County,33647744.0,51758.58
Borden County,41856.0,4740.14
Bosque County,1195840.0,5143.17
Bossier Parish,8130496.0,11764.11
Botetourt County,2138816.0,9763.91
Bottineau County,402048.0,5475.99
Boulder County,20876544.0,7854.49
Boundary County,783680.0,3740.3
Bourbon County,2196608.0,16850.24
Bowie County,5967680.0,6350.9800000000005
Bowman County,190512.0,3935.27
Box Butte County,690112.0,5082.08
Box Elder County,3586944.0,3814.71
Boyd County,3112768.0,18727.49
Boyle County,1923840.0,7235.47
Bracken County,531392.0,5058.41
Bradford County,5665536.0,17087.45
Bradley County,7607872.0,12754.07
Branch County,2785088.0,5804.63
Brantley County,1222976.0,4034.79
Braxton County,893248.0,10274.4
Brazoria County,23952896.0,6884.15
Brazos County,14669504.0,7127.97
Breathitt County,808320.0,12707.87
Breckinridge County,1310528.0,6377.89
Bremer County,1603968.0,4057.83
Brevard County,38524288.0,7390.73
Brewster County,588992.0,3640.11
Briscoe County,98944.0,9702.470000000001
Bristol Bay Borough,53504.0,18467.31
Bristol City,1072768.0,12558.15
Bristol County,39276544.0,16138.15
Broadwater County,399168.0,5531.4800000000005
Bronx County,90765248.0,10796.06
Brooke County,1404096.0,7251.93
Brookings County,2244928.0,4450.24
Brooks County,1443200.0,12278.27
Broome County,12191232.0,8491.33
Broomfield County,4509760.0,6599.0199999999995
Broward County,124977792.0,9205.13
Brown County,28407936.0,63693.68
Brule County,339008.0,5606.96
Brunswick County,10179264.0,15691.83
Bryan County,5607808.0,14971.9
Buchanan County,8290752.0,24759.98
Buckingham County,1097472.0,7592.74
Bucks County,40209280.0,5810.21
Buena Vista City,414592.0,9092.27
Buena Vista County,1255680.0,3267.04
Buffalo County,4137728.0,17816.48
Bullitt County,5227264.0,6855.099999999999
Bulloch County,5094912.0,3675.51
Bullock County,646464.0,7801.2
Buncombe County,16716224.0,8131.62
Bureau County,2088192.0,7012.36
Burke County,7358912.0,16953.46
Burleigh County,6120064.0,7777.19
Burleson County,1180352.0,6924.0
Burlington County,28502336.0,9631.32
Burnet County,3081920.0,6495.72
Burnett County,986496.0,8466.34
Burt County,413376.0,5465.2
Butler County,47050112.0,53722.64
Butte County,14861568.0,15323.32
Butts County,1595904.0,5321.56
Cabarrus County,13852992.0,8109.83
Cabell County,5884480.0,8580.19
Cabo Rojo Muni,3040960.0,21092.28
Cache County,8210496.0,3938.71
Caddo County,1840768.0,7829.8
Caddo Parish,15373056.0,9538.51
Caguas Muni,7974784.0,20194.04
Calaveras County,2937920.0,4975.5
Calcasieu Parish,13019904.0,7294.67
Caldwell County,9446976.0,33649.01
Caldwell Parish,634752.0,15073.630000000001
Caledonia County,1919552.0,7225.0
Calhoun County,22077888.0,79620.12
Callahan County,892352.0,5680.22
Callaway County,2863552.0,6181.83
Calloway County,2496064.0,6469.070000000001
Calumet County,3205696.0,5410.41
Calvert County,5921600.0,4392.29
Camas County,70784.0,4340.03
Cambria County,8332288.0,7718.56
Camden County,39571776.0,23923.87
Cameron County,27367040.0,15327.97
Cameron Parish,446272.0,2939.88
Camp County,838016.0,6903.93
Campbell County,15105792.0,39266.23
Camuy Muni,1952256.0,24491.87
Canadian County,9491584.0,7148.7
Candler County,691392.0,5405.91
Cannon County,939392.0,7923.46
Canyon County,14710336.0,5799.88
Canóvanas Muni,2859136.0,16318.21
Cape Girardeau County,5047744.0,6917.63
Cape May County,5890496.0,9989.22
Carbon County,7050880.0,20822.92
Caribou County,457920.0,2921.0299999999997
Carlisle County,304640.0,5294.18
Carlton County,2295744.0,8589.12
Carolina Muni,9406976.0,17953.03
Caroline County,4104384.0,12561.75
Carroll County,34187840.0,81609.22
Carson City,3578624.0,5871.31
Carson County,379264.0,5247.95
Carter County,8866112.0,44956.74
Carteret County,4446272.0,7847.67
Carver County,6725696.0,6031.11
Cascade County,5207424.0,8891.94
Casey County,1034176.0,8156.47
Cass County,30675266.0,58442.13
Cassia County,1537920.0,4556.8
Castro County,481920.0,7861.81
Caswell County,1446656.0,6622.7300000000005
Catahoula Parish,607616.0,5350.71
Catawba County,10211264.0,8859.89
Cataño Muni,1479744.0,16180.11
Catoosa County,4325120.0,4658.18
Catron County,225728.0,3912.65
Cattaraugus County,4871488.0,6065.67
Cavalier County,240768.0,5449.17
Cayey Muni,2714176.0,22733.4
Cayuga County,4900864.0,7045.2699999999995
Cecil County,6582720.0,5445.51
Cedar County,2648192.0,19911.9
Ceiba Muni,697856.0,19075.58
Centre County,10392640.0,6333.7
Cerro Gordo County,2716800.0,4621.89
Chaffee County,1302784.0,4779.96
Chambers County,4933824.0,14220.5
Champaign County,15908736.0,18022.5
Chariton County,475264.0,5440.34
Charles City County,445632.0,8703.07
Charles County,10448448.0,7170.3099999999995
Charles Mix County,594688.0,9793.369999999999
Charleston County,26329984.0,6989.97
Charlevoix County,1673152.0,4322.43
Charlotte County,12850560.0,17767.43
Charlottesville City,3025024.0,8513.51
Charlton County,857088.0,5144.84
Chase County,420608.0,9875.9
Chatham County,23289600.0,14330.07
Chattahoochee County,698048.0,10827.93
Chattooga County,1586496.0,4816.64
Chautauqua County,8329792.0,11128.78
Chaves County,4135360.0,5675.16
Cheatham County,2602688.0,6351.57
Cheboygan County,1617664.0,5392.48
Chelan County,4940800.0,5835.5
Chemung County,5341184.0,7563.23
Chenango County,3021248.0,6424.81
Cherokee County,32214912.0,50705.13
Cherry County,364096.0,2179.68
Chesapeake City,15669440.0,6606.91
Cheshire County,4869440.0,7220.87
Chester County,36769920.0,23597.11
Chesterfield County,25500928.0,16412.21
Cheyenne County,857472.0,14378.19
Chickasaw County,1858304.0,15044.7
Chicot County,647552.0,3982.99
Childress County,467584.0,9430.6
Chilton County,2843392.0,6061.46
Chippewa County,7283648.0,19518.51
Chisago County,3621056.0,5634.59
Chittenden County,10481536.0,8939.2
Choctaw County,2270144.0,19686.39
Chouteau County,360640.0,7542.150000000001
Chowan County,892352.0,8620.81
Christian County,12247040.0,21707.27
Churchill County,1594176.0,5299.26
Ciales Muni,1011712.0,19654.64
Cibola County,1707200.0,11062.8
Cidra Muni,2451648.0,24280.16
Cimarron County,136768.0,8797.33
Citrus County,9578048.0,6924.46
Clackamas County,26763968.0,6481.8
Claiborne County,2620608.0,13407.4
Claiborne Parish,971540.0,5973.16
Clallam County,4949184.0,6336.42
Clare County,1980800.0,5802.9
Clarendon County,2159680.0,6629.14
Clarion County,2460032.0,5039.33
Clark County,200275110.0,78559.39
Clarke County,12256512.0,30497.63
Clatsop County,2574336.0,4994.5
Clay County,46386176.0,117847.01
Clayton County,19827520.0,9182.59
Clear Creek County,620800.0,3350.56
Clearfield County,5072320.0,7528.84
Clearwater County,1124736.0,11837.73
Cleburne County,2549056.0,13655.25
Clermont County,13211392.0,7583.3
Cleveland County,24954688.0,22267.07
Clinch County,423552.0,7192.48
Clinton County,24811200.0,65517.23
Cloud County,562304.0,5690.860000000001
Coahoma County,1415936.0,7860.28
Coal County,351680.0,9790.78
Coamo Muni,2453504.0,20735.07
Cobb County,48649024.0,6536.14
Cochise County,8059008.0,7283.06
Cochran County,182592.0,7080.21
Cocke County,2304256.0,11293.16
Coconino County,9182464.0,7710.6900000000005
Codington County,1792576.0,9022.1
Coffee County,9736640.0,20614.15
Coffey County,523456.0,5685.35
Coke County,216768.0,8621.15
Colbert County,3535424.0,10215.21
Cole County,4911680.0,6072.04
Coleman County,523200.0,6568.76
Coles County,3239744.0,8113.2
Colfax County,1449600.0,9087.13
Colleton County,2411328.0,7314.79
Collier County,24633728.0,6176.89
Collin County,66222720.0,7523.61
Collingsworth County,186880.0,9109.62
Colonial Heights City,1111680.0,10115.15
Colorado County,1375552.0,4876.01
Colquitt County,2918400.0,4984.59
Columbia County,31369792.0,53008.05
Columbiana County,6520512.0,5899.93
Columbus County,3552512.0,6611.67
Colusa County,1379008.0,4627.12
Comal County,9997376.0,7874.73
Comanche County,8709376.0,21495.33
Comerío Muni,1193472.0,18961.88
Commonwealth of the Northern Mariana Islands,859844.0,5216.88
Concho County,174464.0,14563.5
Concordia Parish,1232576.0,8375.289999999999
Conecuh County,772288.0,6952.83
Conejos County,525120.0,7263.89
Contra Costa County,73825664.0,9047.34
Converse County,884608.0,4369.75
Conway County,1334144.0,6245.82
Cook County,331069824.0,19418.82
Cooke County,2640448.0,3810.29
Cooper County,1133376.0,4127.84
Coos County,6147200.0,13656.01
Coosa County,682432.0,8721.77
Copiah County,1796160.0,7479.07
Corozal Muni,2066752.0,21113.01
Corson County,261504.0,4160.51
Cortland County,3045184.0,7418.95
Coryell County,4860864.0,5874.86
Coshocton County,2342400.0,6382.51
Costilla County,248768.0,7383.570000000001
Cottle County,89472.0,8655.16
Cotton County,362624.0,5983.1
Cottonwood County,716544.0,6305.81
Covington City,354432.0,17298.69
Covington County,3563840.0,15993.89
Coweta County,9504576.0,5998.27
Cowley County,2234112.0,7333.49
Cowlitz County,7077952.0,5076.28
Craig County,1233472.0,17917.24
Craighead County,7061248.0,10375.92
Crane County,307008.0,6545.74
Craven County,6536896.0,8790.0
Crawford County,21807744.0,72128.31
Creek County,4577408.0,7387.96
Crenshaw County,881408.0,7348.23
Crisp County,1431808.0,4510.150000000001
Crittenden County,3632704.0,15133.39
Crockett County,1132416.0,25254.45
Crook County,2047232.0,12242.62
Crosby County,367168.0,8924.48
Cross County,1050816.0,6851.84
Crow Wing County,4163520.0,6240.9
Crowley County,387904.0,4553.72
Culberson County,138944.0,2349.14
Culebra Muni,109696.0,22287.05
Cullman County,5361152.0,9084.64
Culpeper County,3366720.0,6769.34
Cumberland County,71759424.0,62428.33
Cuming County,566144.0,3843.48
Currituck County,1776832.0,5907.13
Curry County,4600256.0,13364.23
Custer County,4450368.0,32151.43
Cuyahoga County,79044608.0,7338.99
Dade County,1515328.0,11681.34
Daggett County,60800.0,1894.71
Dakota County,28739008.0,15948.03
Dale County,3147008.0,8889.22
Dallam County,466368.0,5050.08
Dallas County,178563328.0,29584.62
Dane County,34988480.0,11252.74
Daniels County,108160.0,6686.3099999999995
Danville City,2562816.0,11367.51
Dare County,2368576.0,7306.32
Darke County,3271232.0,5832.1900000000005
Darlington County,4263552.0,5473.0199999999995
Dauphin County,17811136.0,5413.59
Davidson County,55152192.0,15612.81
Davie County,2742144.0,9475.83
Daviess County,9160960.0,17328.71
Davis County,23326784.0,8709.53
Davison County,1265600.0,6973.44
Dawes County,549696.0,3190.14
Dawson County,4520708.0,24443.86
Day County,347136.0,5309.75
De Baca County,111872.0,12299.8
De Soto Parish,1757632.0,9427.27
De Witt County,1000832.0,6234.7699999999995
DeKalb County,64782016.0,40522.58
DeSoto County,14268544.0,12000.7
DeWitt County,1290240.0,4717.24
Deaf Smith County,1186944.0,8341.42
Dearborn County,3165312.0,6114.23
Decatur County,4820672.0,35393.98
Deer Lodge County,584960.0,10831.48
Defiance County,2437568.0,6414.21
Del Norte County,1779968.0,10502.67
Delaware County,63629696.0,38257.34
Delta County,4625728.0,17684.58
Denali Borough,134208.0,7868.4
Dent County,996672.0,5278.400000000001
Denton County,56781248.0,5829.87
Denver County,46541504.0,7067.11
Des Moines County,2493888.0,6192.43
Deschutes County,12652288.0,9085.82
Desha County,727104.0,6073.35
Deuel County,393280.0,9478.25
Dewey County,690112.0,23099.99
Dickens County,141504.0,4884.71
Dickenson County,916352.0,12753.18
Dickey County,311808.0,7635.5
Dickinson County,3901632.0,19307.05
Dickson County,3452672.0,9073.54
Dillingham CA,206472.0,6265.26
Dillingham Census Area,108152.0,10598.05
Dillon County,1950656.0,7014.67
Dimmit County,647936.0,6311.8
Dinwiddie County,1826816.0,8730.34
District of Columbia,45167936.0,6146.95
Divide County,144896.0,7023.03
Dixie County,1076864.0,5782.72
Dixon County,360704.0,6582.64
Doddridge County,540672.0,5539.75
Dodge County,10620352.0,25052.72
Dolores County,131520.0,3357.63
Doniphan County,486400.0,6039.4800000000005
Donley County,209792.0,10463.73
Dooly County,856960.0,3868.56
Door County,1770752.0,7318.92
Dorado Muni,2313024.0,18416.77
Dorchester County,12463232.0,16217.44
Dougherty County,5629184.0,6124.64
Douglas County,96720576.0,78648.72
Doña Ana County,13964480.0,7348.91
Drew County,1166016.0,6010.26
DuPage County,59066944.0,9671.23
Dubois County,2735104.0,5543.42
Dubuque County,6227904.0,5894.49
Duchesne County,1276032.0,4218.09
Dukes County,1109248.0,5954.37
Dundy County,108352.0,5965.78
Dunklin County,1864384.0,9968.75
Dunn County,3186688.0,10357.41
Duplin County,3759424.0,8246.37
Durham County,20575232.0,10389.789999999999
Dutchess County,18829952.0,7891.1
Duval County,62010368.0,17544.43
Dyer County,2378176.0,9518.57
Eagle County,3528128.0,4493.3
Early County,652160.0,4455.31
East Baton Rouge Parish,28163776.0,8281.88
East Carroll Parish,439104.0,13175.97
East Feliciana Parish,1224640.0,6145.78
Eastland County,1175040.0,3954.33
Eaton County,7057152.0,8754.1
Eau Claire County,6697344.0,7158.42
Echols County,256384.0,3469.86
Ector County,10638272.0,4717.74
Eddy County,3887808.0,11327.15
Edgar County,1098304.0,9719.71
Edgecombe County,3294208.0,8422.07
Edgefield County,1744640.0,6837.87
Edmonson County,777600.0,4880.58
Edmunds County,245056.0,4126.42
Edwards County,712000.0,18235.69
