mo_264,05/10/2020,9
mo_264,06/10/2020,8
mo_264,07/10/2020,7
mo_264,08/10/2020,9
mo_264,09/10/2020,14
mo_264,10/10/2020,8
mo_264,11/10/2020,8
mo_264,12/10/2020,17
mo_264,13/10/2020,14
mo_264,14/10/2020,13
mo_264,15/10/2020,8
mo_264,16/10/2020,9
mo_264,17/10/2020,10
mo_264,18/10/2020,8
mo_264,19/10/2020,19
mo_264,20/10/2020,22
mo_264,21/10/2020,29
mo_264,22/10/2020,65
mo_264,23/10/2020,68
mo_264,24/10/2020,40
mo_264,25/10/2020,51
mo_264,26/10/2020,92
mo_264,27/10/2020,69
mo_264,28/10/2020,84
mo_264,29/10/2020,77
mo_264,30/10/2020,58
mo_264,31/10/2020,58
mo_264,01/11/2020,88
mo_264,02/11/2020,114
mo_264,03/11/2020,103
mo_264,04/11/2020,126
mo_264,05/11/2020,127
mo_264,06/11/2020,120
mo_264,07/11/2020,83
mo_264,08/11/2020,66
mo_264,09/11/2020,160
mo_264,10/11/2020,189
mo_264,11/11/2020,144
mo_264,12/11/2020,140
mo_264,13/11/2020,159
mo_264,14/11/2020,77
mo_264,15/11/2020,70
mo_264,16/11/2020,157
mo_264,17/11/2020,158
mo_264,18/11/2020,148
mo_264,19/11/2020,133
mo_264,20/11/2020,127
mo_264,21/11/2020,63
mo_264,22/11/2020,62
mo_264,23/11/2020,146
mo_264,24/11/2020,138
mo_264,25/11/2020,109
mo_264,26/11/2020,47
mo_264,27/11/2020,82
mo_264,28/11/2020,72
mo_264,29/11/2020,72
mo_264,30/11/2020,145
mo_264,01/12/2020,158
mo_264,02/12/2020,121
mo_264,03/12/2020,118
mo_264,04/12/2020,111
mo_264,05/12/2020,60
mo_264,06/12/2020,68
mo_264,07/12/2020,127
mo_264,08/12/2020,116
mo_264,09/12/2020,113
mo_264,10/12/2020,106
mo_264,11/12/2020,91
mo_264,12/12/2020,54
mo_264,13/12/2020,56
mo_264,14/12/2020,101
mo_264,15/12/2020,100
mo_264,16/12/2020,89
mo_264,17/12/2020,89
mo_264,18/12/2020,92
mo_264,19/12/2020,57
mo_264,20/12/2020,61
mo_264,21/12/2020,96
mo_264,22/12/2020,96
mo_264,23/12/2020,82
mo_264,24/12/2020,42
mo_264,25/12/2020,22
mo_264,26/12/2020,49
mo_264,27/12/2020,59
mo_264,28/12/2020,74
mo_264,29/12/2020,92
mo_264,30/12/2020,68
mo_264,31/12/2020,82
mo_264,01/01/2021,57
mo_264,02/01/2021,66
mo_264,03/01/2021,64
mo_264,04/01/2021,143
mo_264,05/01/2021,125
mo_264,06/01/2021,89
mo_264,07/01/2021,68
mo_264,08/01/2021,84
mo_264,09/01/2021,56
mo_264,10/01/2021,44
mo_264,11/01/2021,76
mo_264,12/01/2021,83
mo_264,13/01/2021,59
mo_264,14/01/2021,66
mo_264,15/01/2021,57
mo_264,16/01/2021,41
mo_264,17/01/2021,48
mo_264,18/01/2021,64
mo_264,19/01/2021,55
mo_264,20/01/2021,66
mo_264,21/01/2021,44
mo_264,22/01/2021,42
mo_264,23/01/2021,26
mo_264,24/01/2021,25
mo_264,25/01/2021,38
mo_264,26/01/2021,40
mo_264,27/01/2021,36
mo_264,28/01/2021,36
mo_264,29/01/2021,54
mo_264,30/01/2021,31
mo_264,31/01/2021,22
mo_264,01/02/2021,38
mo_264,02/02/2021,32
mo_264,03/02/2021,36
mo_264,04/02/2021,31
mo_264,05/02/2021,39
mo_264,06/02/2021,14
mo_264,07/02/2021,17
mo_264,08/02/2021,30
