dates,,R_gallax,,R_McMullen,,R_Robertson,,R_King,,R_SantaCruz,,R_Kauai
26/02/2020,55,0.996689312,,4.9270061,,4.81933623,,1.27720492,,1.287839242,,1.291742924
27/02/2020,56,0.996980748,,4.909004351,,4.742266742,,1.27071496,,1.281442105,,1.281640527
28/02/2020,57,0.996363217,,4.879815633,,4.657402837,,1.263852006,,1.274635139,,1.271379722
29/02/2020,58,0.995016095,,4.839923563,,4.568340774,,1.256844319,,1.267645391,,1.261205325
01/03/2020,59,0.993141263,,4.791635866,,4.47770621,,1.249838267,,1.260618142,,1.251269419
02/03/2020,60,0.990954514,,4.737420574,,4.387298167,,1.242924717,,1.253643891,,1.241662141
03/03/2020,61,0.988674641,,4.679344917,,4.298287151,,1.236157684,,1.246777417,,1.232432668
04/03/2020,62,0.986521202,,4.618984423,,4.211394902,,1.229567093,,1.240051065,,1.223603282
05/03/2020,63,0.984715882,,4.557478054,,4.127035696,,1.223167361,,1.233483663,,1.215178658
06/03/2020,64,0.983480058,,4.495620615,,4.045419584,,1.21696303,,1.227086088,,1.207151886
07/03/2020,65,0.983014802,,4.433951964,,3.966624598,,1.21095246,,1.220864581,,1.199508452
08/03/2020,66,0.983475846,,4.372830173,,3.890645775,,1.205130186,,1.214822598,,1.192228903
09/03/2020,67,0.984951178,,4.312486997,,3.817427737,,1.199488444,,1.208962078,,1.185290629
10/03/2020,68,0.987444113,,4.253068062,,3.746885958,,1.194018186,,1.203284358,,1.178669281
11/03/2020,69,0.990865788,,4.194661139,,3.678920432,,1.188709804,,1.197790613,,1.172339817
12/03/2020,70,0.995037318,,4.137315637,,3.613424308,,1.183553593,,1.19248199,,1.16627722
13/03/2020,71,0.999702735,,4.081055838,,3.550289242,,1.178540014,,1.187359728,,1.160456954
14/03/2020,72,1.004562855,,4.025889799,,3.489408627,,1.17365984,,1.182425219,,1.154855259
15/03/2020,73,1.00931561,,3.971815271,,3.430679466,,1.168904288,,1.177679772,,1.149449409
16/03/2020,74,1.013696959,,3.918823616,,3.374003393,,1.164265104,,1.173124131,,1.144218091
17/03/2020,75,1.017517312,,3.86690239,,3.319287164,,1.15973463,,1.168757942,,1.139141698
18/03/2020,76,1.020673835,,3.816037024,,3.26644282,,1.15530588,,1.16457934,,1.134202435
19/03/2020,77,1.023146222,,3.766211922,,3.215387667,,1.150972662,,1.160584749,,1.129384325
20/03/2020,78,1.024983548,,3.717411178,,3.16604415,,1.146729685,,1.15676873,,1.12467319
21/03/2020,79,1.026285417,,3.669619035,,3.118339675,,1.142572614,,1.153123957,,1.120056576
22/03/2020,80,1.027180411,,3.622820175,,3.072206412,,1.138498061,,1.149641524,,1.115523683
23/03/2020,81,1.027802301,,3.576999907,,3.027581103,,1.134503552,,1.146311438,,1.111065407
24/03/2020,82,1.028267055,,3.532144263,,2.984404882,,1.130587446,,1.143123163,,1.10667438
25/03/2020,83,1.028665069,,3.488240038,,2.942623097,,1.12674878,,1.140066062,,1.102344999
26/03/2020,84,1.029058092,,3.445274762,,2.902185145,,1.122987054,,1.137129724,,1.098073382
27/03/2020,85,1.029481356,,3.403236586,,2.86304428,,1.119302039,,1.134304297,,1.093857264
28/03/2020,86,1.029948469,,3.362114048,,2.825157355,,1.115693645,,1.131580831,,1.089695857
29/03/2020,87,1.030457893,,3.321895656,,2.788484431,,1.112161839,,1.128951545,,1.08558966
30/03/2020,88,1.03100176,,3.282569172,,2.752988147,,1.108706631,,1.126409935,,1.081540161
31/03/2020,89,1.031575672,,3.244120463,,2.718632671,,1.105328072,,1.123950712,,1.077549576
01/04/2020,90,1.032187566,,3.206531692,,2.685382008,,1.102026272,,1.121569545,,1.073620663
02/04/2020,91,1.032865743,,3.169778559,,2.653197342,,1.09880141,,1.1192627,,1.069756598
03/04/2020,92,1.033659871,,3.133826241,,2.622032999,,1.095653737,,1.11702678,,1.065960874
04/04/2020,93,1.034637934,,3.09862371,,2.591830654,,1.092583614,,1.11485864,,1.062237211
05/04/2020,94,1.035878755,,3.07677863,,2.569538522,,1.089591565,,1.112755532,,1.05858948
06/04/2020,95,1.037451163,,3.067121227,,2.554195706,,1.086678315,,1.110715344,,1.055021765
07/04/2020,96,1.039391393,,3.063780182,,2.542752107,,1.083844813,,1.108736751,,1.051538841
08/04/2020,97,1.041688444,,3.06019532,,2.532073781,,1.081092203,,1.106819288,,1.04814733
09/04/2020,98,1.04428006,,3.050638461,,2.51959679,,1.078421822,,1.104963425,,1.04485659
10/04/2020,99,1.047058341,,3.030825379,,2.503472986,,1.075835208,,1.103170891,,1.041679094
11/04/2020,100,1.049881857,,2.998210128,,2.482563342,,1.073334037,,1.101444937,,1.03863053
12/04/2020,101,1.052593342,,2.942315344,,2.450700269,,1.070920044,,1.099790223,,1.035730114
13/04/2020,102,1.055050348,,2.866256542,,2.409045029,,1.068594944,,1.098212442,,1.033000624
14/04/2020,103,1.057155816,,2.777172278,,2.360620347,,1.066360377,,1.096717857,,1.030467835
15/04/2020,104,1.058868454,,2.681836743,,2.308377797,,1.0642179,,1.095312847,,1.028159134
16/04/2020,105,1.060199785,,2.585325216,,2.25461348,,1.062168966,,1.094003497,,1.026101999
17/04/2020,106,1.061204668,,2.490999396,,2.200938233,,1.060214863,,1.092795368,,1.024322446
18/04/2020,107,1.061967806,,2.400873981,,2.14840446,,1.058356703,,1.091693412,,1.022843371
19/04/2020,108,1.062588253,,2.316019572,,2.09765523,,1.056595412,,1.090702083,,1.021682623
20/04/2020,109,1.063162279,,2.236889357,,2.049051016,,1.054931667,,1.089825755,,1.020851655
21/04/2020,110,1.063767125,,2.163554218,,2.002764822,,1.053365943,,1.089069641,,1.020355317
22/04/2020,111,1.064457625,,2.095859724,,1.95884931,,1.051898549,,1.088440015,,1.020191989
23/04/2020,112,1.06526658,,2.03352598,,1.91728291,,1.050529584,,1.087943984,,1.020354064
24/04/2020,113,1.066201982,,1.976210188,,1.878000198,,1.049258872,,1.087589088,,1.020828971
25/04/2020,114,1.067247663,,1.923544783,,1.840911222,,1.048085846,,1.087382693,,1.021600396
26/04/2020,115,1.068367005,,1.87516116,,1.805913824,,1.047009482,,1.087331375,,1.022649471
27/04/2020,116,1.069508781,,1.83070324,,1.772902293,,1.046028275,,1.087440232,,1.023955535
28/04/2020,117,1.070615218,,1.789833888,,1.741772572,,1.045140146,,1.087712038,,1.025496107
29/04/2020,118,1.071631076,,1.752238143,,1.712424701,,1.044342415,,1.088146921,,1.02724681
30/04/2020,119,1.072512589,,1.717624544,,1.684763445,,1.043631865,,1.088742487,,1.029181408
01/05/2020,120,1.073237117,,1.685725086,,1.65869919,,1.043004844,,1.089494346,,1.031271952
02/05/2020,121,1.073806742,,1.656293897,,1.6341488,,1.042457441,,1.090396776,,1.033489117
03/05/2020,122,1.074247418,,1.62910492,,1.611035514,,1.041985644,,1.091443385,,1.035802644
04/05/2020,123,1.07460413,,1.603950062,,1.589287488,,1.041585514,,1.092627562,,1.038181797
05/05/2020,124,1.074927047,,1.580637972,,1.56883632,,1.041253372,,1.093942672,,1.040595856
06/05/2020,125,1.075255567,,1.558992982,,1.549616059,,1.040985882,,1.095382017,,1.043014774
07/05/2020,126,1.075605799,,1.538854254,,1.531562562,,1.040780078,,1.096938673,,1.045409829
08/05/2020,127,1.075964511,,1.520074935,,1.514612874,,1.040633353,,1.09860541,,1.047754144
09/05/2020,128,1.076290059,,1.502521655,,1.498704908,,1.040543407,,1.100374686,,1.050023182
10/05/2020,129,1.076517806,,1.486074161,,1.483777529,,1.040508155,,1.102238421,,1.052195217
11/05/2020,130,1.07656902,,1.470624752,,1.469771098,,1.040525636,,1.104187896,,1.05425173
12/05/2020,131,1.076366536,,1.456077502,,1.456627994,,1.040593868,,1.106213519,,1.056177655
13/05/2020,132,1.075852296,,1.442347491,,1.44429296,,1.040710762,,1.108304893,,1.057961481
14/05/2020,133,1.075002623,,1.429360031,,1.432713201,,1.040874062,,1.110450948,,1.059595188
15/05/2020,134,1.073830666,,1.417049691,,1.421838079,,1.041081313,,1.112639687,,1.061074105
16/05/2020,135,1.072381424,,1.405359071,,1.411618599,,1.041329849,,1.11485797,,1.06239682
17/05/2020,136,1.070723855,,1.394237521,,1.40200704,,1.041616822,,1.117091619,,1.063565005
18/05/2020,137,1.068941576,,1.383640056,,1.392956644,,1.041939208,,1.11932564,,1.064583117
19/05/2020,138,1.067123136,,1.37352647,,1.384421561,,1.042293832,,1.121544703,,1.065457983
20/05/2020,139,1.06535167,,1.363860539,,1.376357024,,1.042677363,,1.123733375,,1.06619817
21/05/2020,140,1.063694922,,1.354609319,,1.368719658,,1.043086333,,1.125876214,,1.066813399
22/05/2020,141,1.062203555,,1.345742647,,1.361467843,,1.043517167,,1.12795794,,1.067314017
23/05/2020,142,1.060911598,,1.337232822,,1.35456205,,1.04396624,,1.129963402,,1.067710445
24/05/2020,143,1.059833928,,1.329054394,,1.347965139,,1.044429907,,1.13187753,,1.068012758
25/05/2020,144,1.058965728,,1.321184013,,1.341642582,,1.044904545,,1.133685386,,1.068230416
26/05/2020,145,1.058284232,,1.313600312,,1.335562615,,1.045386584,,1.135372229,,1.068372111
27/05/2020,146,1.057752266,,1.306283789,,1.32969632,,1.045872557,,1.136923787,,1.068445685
28/05/2020,147,1.057323619,,1.299216701,,1.324017641,,1.046359123,,1.13832676,,1.068458142
29/05/2020,148,1.056949264,,1.29238294,,1.318503343,,1.046843097,,1.139569762,,1.068415733
30/05/2020,149,1.056583764,,1.285767922,,1.313132928,,1.047321464,,1.140644275,,1.068324142
31/05/2020,150,1.05619308,,1.279358459,,1.307888505,,1.047791406,,1.14154509,,1.068188632
01/06/2020,151,1.055758622,,1.273142646,,1.302754641,,1.048250332,,1.142270451,,1.068014167
02/06/2020,152,1.055278021,,1.267109738,,1.297718184,,1.048695884,,1.142822002,,1.067805483
03/06/2020,153,1.054762943,,1.261250042,,1.292768109,,1.049125944,,1.143204497,,1.067567064
04/06/2020,154,1.054230931,,1.255554808,,1.287895448,,1.049538627,,1.14342532,,1.067302988
05/06/2020,155,1.053695668,,1.250016132,,1.283093191,,1.049932302,,1.143493647,,1.067016704
06/06/2020,156,1.053159964,,1.244626863,,1.278356086,,1.050305597,,1.143419735,,1.066710742
07/06/2020,157,1.052612881,,1.239380517,,1.273680396,,1.050657395,,1.143214482,,1.066386533
08/06/2020,158,1.052030534,,1.234271206,,1.269063653,,1.050986814,,1.142889034,,1.066044429
09/06/2020,159,1.05137926,,1.229293565,,1.264504421,,1.051293185,,1.142454358,,1.065683743
10/06/2020,160,1.050620736,,1.224442689,,1.26000205,,1.051576033,,1.141920896,,1.065302891
11/06/2020,161,1.049721947,,1.219714084,,1.255556386,,1.051835042,,1.141298344,,1.064899582
12/06/2020,162,1.048666282,,1.215103614,,1.251167531,,1.052070013,,1.140595604,,1.06447103
13/06/2020,163,1.047457103,,1.210607459,,1.246835708,,1.05228082,,1.139820667,,1.06401417
14/06/2020,164,1.046116386,,1.206222077,,1.242561176,,1.052467377,,1.138980442,,1.063525807
15/06/2020,165,1.044681195,,1.201944174,,1.238344198,,1.052629607,,1.138080613,,1.063002613
16/06/2020,166,1.043198879,,1.197770671,,1.234185014,,1.052767402,,1.137125573,,1.062441194
17/06/2020,167,1.041721416,,1.193698682,,1.230083887,,1.052880599,,1.13611851,,1.061838199
18/06/2020,168,1.040298862,,1.189725489,,1.226041339,,1.052968969,,1.13506153,,1.061190444
19/06/2020,169,1.038972386,,1.185848527,,1.222058346,,1.053032199,,1.133955704,,1.060495041
20/06/2020,170,1.037772643,,1.182065354,,1.218136472,,1.053069864,,1.132801437,,1.059749511
21/06/2020,171,1.036720387,,1.178373628,,1.214277921,,1.053081417,,1.131598933,,1.058951893
22/06/2020,172,1.035826612,,1.174771079,,1.21048563,,1.053066182,,1.130348567,,1.058100862
23/06/2020,173,1.035090621,,1.171255501,,1.206763462,,1.053023369,,1.129051158,,1.057195803
24/06/2020,174,1.034498994,,1.167824754,,1.203116387,,1.052952093,,1.127708099,,1.056236904
25/06/2020,175,1.034026247,,1.16447678,,1.199550571,,1.052851424,,1.126321365,,1.055225226
26/06/2020,176,1.033637153,,1.161209606,,1.196073471,,1.052720445,,1.124893393,,1.054162737
