,date,cc_data
ut_17,2022-12-15,10
ut_17,2022-12-18,10
ut_17,2022-12-24,10
ut_17,2022-12-31,10
ut_17,2023-02-18,10
ut_17,2021-03-28,11
ut_17,2021-04-11,11
ut_17,2021-04-24,11
ut_17,2021-04-30,11
ut_17,2021-05-11,11
ut_17,2021-05-15,11
ut_17,2021-06-04,11
ut_17,2021-06-06,11
ut_17,2021-06-10,11
ut_17,2021-12-19,11
ut_17,2022-02-19,11
ut_17,2022-05-03,11
ut_17,2022-05-08,11
ut_17,2022-07-24,11
ut_17,2022-08-06,11
ut_17,2022-08-16,11
ut_17,2022-08-18,11
ut_17,2022-10-05,11
ut_17,2022-10-17,11
ut_17,2022-10-21,11
ut_17,2022-10-25,11
ut_17,2022-10-30,11
ut_17,2022-11-02,11
ut_17,2022-12-02,11
ut_17,2022-12-03,11
ut_17,2022-12-17,11
ut_17,2022-12-27,11
ut_17,2022-12-30,11
ut_17,2023-02-23,11
ut_17,2021-03-17,12
ut_17,2021-03-24,12
ut_17,2021-04-06,12
ut_17,2021-04-10,12
ut_17,2021-04-19,12
ut_17,2021-05-12,12
ut_17,2021-05-14,12
ut_17,2021-06-02,12
ut_17,2021-06-05,12
ut_17,2021-06-19,12
ut_17,2021-07-03,12
ut_17,2022-02-13,12
ut_17,2022-04-28,12
ut_17,2022-04-30,12
ut_17,2022-08-09,12
ut_17,2022-08-20,12
ut_17,2022-09-02,12
ut_17,2022-09-21,12
ut_17,2022-12-08,12
ut_17,2022-12-13,12
ut_17,2023-02-16,12
ut_17,2020-11-24,13
ut_17,2021-03-05,13
ut_17,2021-04-08,13
ut_17,2021-04-15,13
ut_17,2021-04-16,13
ut_17,2021-05-02,13
ut_17,2021-05-06,13
ut_17,2021-06-07,13
ut_17,2021-06-16,13
ut_17,2021-06-25,13
ut_17,2021-06-28,13
ut_17,2021-07-02,13
ut_17,2022-02-23,13
ut_17,2022-05-02,13
ut_17,2022-08-11,13
ut_17,2022-11-05,13
ut_17,2022-12-05,13
ut_17,2022-12-28,13
ut_17,2022-12-29,13
ut_17,2021-03-03,14
ut_17,2021-03-16,14
ut_17,2021-04-03,14
ut_17,2021-04-21,14
ut_17,2021-05-03,14
ut_17,2021-06-17,14
ut_17,2021-06-29,14
ut_17,2021-06-30,14
ut_17,2021-07-10,14
ut_17,2021-08-15,14
ut_17,2021-08-22,14
ut_17,2022-04-26,14
ut_17,2022-05-05,14
ut_17,2022-05-06,14
ut_17,2022-07-03,14
ut_17,2022-07-23,14
ut_17,2022-08-17,14
ut_17,2022-08-31,14
ut_17,2022-11-12,14
ut_17,2022-11-15,14
ut_17,2022-11-16,14
ut_17,2022-11-29,14
ut_17,2022-12-23,14
ut_17,2021-03-11,15
ut_17,2021-04-14,15
ut_17,2021-05-17,15
ut_17,2021-06-09,15
ut_17,2021-07-25,15
ut_17,2021-11-25,15
ut_17,2022-02-20,15
ut_17,2022-05-30,15
ut_17,2022-06-12,15
ut_17,2022-06-19,15
ut_17,2022-08-10,15
ut_17,2022-12-01,15
ut_17,2022-12-07,15
ut_17,2023-01-03,15
ut_17,2021-03-01,16
ut_17,2021-03-10,16
ut_17,2021-04-01,16
ut_17,2021-04-12,16
ut_17,2021-04-29,16
ut_17,2021-07-24,16
ut_17,2022-02-21,16
ut_17,2022-05-17,16
ut_17,2022-05-23,16
ut_17,2022-05-29,16
ut_17,2022-07-27,16
ut_17,2022-07-30,16
ut_17,2022-08-04,16
ut_17,2022-08-12,16
ut_17,2022-11-10,16
ut_17,2022-11-18,16
ut_17,2022-11-23,16
ut_17,2022-12-09,16
ut_17,2021-02-25,17
ut_17,2021-03-31,17
ut_17,2021-04-05,17
ut_17,2021-04-13,17
ut_17,2021-04-22,17
ut_17,2021-06-14,17
ut_17,2021-06-21,17
ut_17,2021-07-11,17
ut_17,2021-10-24,17
ut_17,2022-02-17,17
ut_17,2022-05-09,17
ut_17,2022-05-19,17
ut_17,2022-05-21,17
ut_17,2022-05-24,17
ut_17,2022-08-15,17
ut_17,2022-08-19,17
ut_17,2022-11-09,17
ut_17,2022-11-17,17
ut_17,2020-11-26,18
ut_17,2021-03-02,18
ut_17,2021-03-25,18
ut_17,2021-08-07,18
ut_17,2021-08-08,18
ut_17,2021-10-03,18
ut_17,2021-12-12,18
ut_17,2022-02-16,18
ut_17,2022-05-14,18
ut_17,2022-07-04,18
ut_17,2022-07-21,18
ut_17,2022-08-03,18
ut_17,2022-11-04,18
ut_17,2022-11-14,18
ut_17,2021-02-20,19
ut_17,2021-02-23,19
ut_17,2021-02-26,19
ut_17,2021-03-18,19
ut_17,2021-07-06,19
ut_17,2021-07-09,19
ut_17,2021-08-14,19
ut_17,2022-05-10,19
ut_17,2022-05-12,19
ut_17,2022-05-20,19
ut_17,2022-05-25,19
ut_17,2022-06-26,19
ut_17,2022-07-28,19
ut_17,2022-08-02,19
ut_17,2022-08-08,19
ut_17,2021-02-13,20
ut_17,2021-02-14,20
ut_17,2021-02-24,20
ut_17,2021-03-15,20
ut_17,2021-03-22,20
ut_17,2021-07-30,20
ut_17,2021-08-01,20
ut_17,2022-05-11,20
ut_17,2022-06-14,20
ut_17,2022-06-21,20
ut_17,2022-06-25,20
ut_17,2022-11-30,20
ut_17,2020-11-25,21
ut_17,2021-02-07,21
ut_17,2021-02-21,21
ut_17,2021-04-26,21
ut_17,2021-07-01,21
ut_17,2021-07-15,21
ut_17,2021-07-17,21
ut_17,2021-07-18,21
ut_17,2021-09-12,21
ut_17,2022-05-18,21
ut_17,2022-06-11,21
ut_17,2022-07-10,21
ut_17,2021-07-16,22
ut_17,2021-07-31,22
ut_17,2021-08-03,22
ut_17,2021-08-13,22
ut_17,2021-08-21,22
ut_17,2021-09-19,22
