,date,cc_data,,dates,I
oh_102,28/02/2021,0,,26/02/2021,
oh_102,01/03/2021,0,,27/02/2021,
oh_102,02/03/2021,38,,28/02/2021,
oh_102,03/03/2021,0,,01/03/2021,
oh_102,04/03/2021,0,,02/03/2021,
oh_102,05/03/2021,0,,03/03/2021,
oh_102,06/03/2021,0,,04/03/2021,
oh_102,07/03/2021,0,,05/03/2021,
oh_102,09/03/2021,0,,06/03/2021,
oh_102,10/03/2021,0,,07/03/2021,
oh_102,12/03/2021,0,,08/03/2021,
oh_102,13/03/2021,0,,09/03/2021,
oh_102,14/03/2021,0,,10/03/2021,
oh_102,15/03/2021,0,,11/03/2021,
oh_102,16/03/2021,7,,12/03/2021,
oh_102,17/03/2021,5,,13/03/2021,
oh_102,18/03/2021,0,,14/03/2021,
oh_102,19/03/2021,0,,15/03/2021,
oh_102,20/03/2021,0,,16/03/2021,
oh_102,21/03/2021,0,,17/03/2021,
oh_102,22/03/2021,19,,18/03/2021,
oh_102,23/03/2021,0,,19/03/2021,
oh_102,24/03/2021,0,,20/03/2021,
oh_102,25/03/2021,5,,21/03/2021,
oh_102,26/03/2021,5,,22/03/2021,
oh_102,27/03/2021,0,,23/03/2021,
oh_102,28/03/2021,0,,24/03/2021,
oh_102,29/03/2021,0,,25/03/2021,
oh_102,31/03/2021,25,,26/03/2021,
oh_102,01/04/2021,0,,27/03/2021,
oh_102,02/04/2021,0,,28/03/2021,
oh_102,03/04/2021,0,,29/03/2021,
oh_102,04/04/2021,0,,30/03/2021,
oh_102,05/04/2021,0,,31/03/2021,
oh_102,06/04/2021,0,,01/04/2021,
oh_102,07/04/2021,0,,02/04/2021,
oh_102,08/04/2021,0,,03/04/2021,
oh_102,09/04/2021,0,,04/04/2021,
oh_102,10/04/2021,0,,05/04/2021,
oh_102,11/04/2021,5,,06/04/2021,
oh_102,12/04/2021,0,,07/04/2021,
oh_102,13/04/2021,15,,08/04/2021,
oh_102,14/04/2021,0,,09/04/2021,
oh_102,15/04/2021,0,,10/04/2021,
oh_102,16/04/2021,7,,11/04/2021,
oh_102,17/04/2021,0,,12/04/2021,
oh_102,18/04/2021,0,,13/04/2021,
oh_102,19/04/2021,7,,14/04/2021,
oh_102,20/04/2021,5,,15/04/2021,
oh_102,21/04/2021,0,,16/04/2021,
oh_102,22/04/2021,0,,17/04/2021,
oh_102,23/04/2021,0,,18/04/2021,
oh_102,24/04/2021,0,,19/04/2021,
oh_102,25/04/2021,0,,20/04/2021,
oh_102,26/04/2021,0,,21/04/2021,
oh_102,27/04/2021,0,,22/04/2021,
oh_102,28/04/2021,0,,23/04/2021,
oh_102,29/04/2021,35,,24/04/2021,
oh_102,30/04/2021,0,,25/04/2021,
oh_102,01/05/2021,0,,26/04/2021,
oh_102,02/05/2021,0,,27/04/2021,
oh_102,03/05/2021,5,,28/04/2021,
oh_102,04/05/2021,0,,29/04/2021,
oh_102,05/05/2021,0,,30/04/2021,
oh_102,06/05/2021,0,,01/05/2021,
oh_102,07/05/2021,0,,02/05/2021,
oh_102,08/05/2021,0,,03/05/2021,
oh_102,10/05/2021,0,,04/05/2021,
oh_102,11/05/2021,0,,05/05/2021,
oh_102,12/05/2021,0,,06/05/2021,
oh_102,13/05/2021,0,,07/05/2021,
oh_102,14/05/2021,0,,08/05/2021,
oh_102,18/05/2021,0,,09/05/2021,
oh_102,20/05/2021,0,,10/05/2021,
oh_102,21/05/2021,0,,11/05/2021,
oh_102,23/05/2021,0,,12/05/2021,
oh_102,24/05/2021,13,,13/05/2021,
oh_102,25/05/2021,0,,14/05/2021,
oh_102,28/05/2021,0,,15/05/2021,
oh_102,01/06/2021,0,,16/05/2021,
oh_102,02/06/2021,9,,17/05/2021,
oh_102,06/06/2021,0,,18/05/2021,
oh_102,07/06/2021,0,,19/05/2021,
oh_102,08/06/2021,0,,20/05/2021,
oh_102,09/06/2021,0,,21/05/2021,
oh_102,14/06/2021,6,,22/05/2021,
oh_102,15/06/2021,0,,23/05/2021,
oh_102,17/06/2021,0,,24/05/2021,
