dates,I,deaths_by_pop
2021-06-09,14,664.1366223908918
2021-06-10,14,664.1366223908918
2021-06-11,14,664.1366223908918
2021-06-12,14,664.1366223908918
2021-06-13,14,664.1366223908918
2021-06-14,14,664.1366223908918
2021-06-15,14,664.1366223908918
2021-06-16,14,664.1366223908918
2021-06-17,14,664.1366223908918
2021-06-18,14,664.1366223908918
2021-06-19,14,664.1366223908918
2021-06-20,14,664.1366223908918
2021-06-21,14,664.1366223908918
2021-06-22,14,664.1366223908918
2021-06-23,14,664.1366223908918
2021-06-24,14,664.1366223908918
2021-06-25,14,664.1366223908918
2021-06-26,14,664.1366223908918
2021-06-27,14,664.1366223908918
2021-06-28,14,664.1366223908918
2021-06-29,14,664.1366223908918
2021-06-30,14,664.1366223908918
2021-07-01,14,664.1366223908918
2021-07-02,14,664.1366223908918
2021-07-03,14,664.1366223908918
2021-07-04,14,664.1366223908918
2021-07-05,14,664.1366223908918
2021-07-06,14,664.1366223908918
2021-07-07,14,664.1366223908918
2021-07-08,14,664.1366223908918
2021-07-09,14,664.1366223908918
2021-07-10,14,664.1366223908918
2021-07-11,14,664.1366223908918
2021-07-12,14,664.1366223908918
2021-07-13,14,664.1366223908918
2021-07-14,14,664.1366223908918
2021-07-15,14,664.1366223908918
2021-07-16,14,664.1366223908918
2021-07-17,14,664.1366223908918
2021-07-18,14,664.1366223908918
2021-07-19,14,664.1366223908918
2021-07-20,14,664.1366223908918
2021-07-21,14,664.1366223908918
2021-07-22,14,664.1366223908918
2021-07-23,14,664.1366223908918
2021-07-24,14,664.1366223908918
2021-07-25,14,664.1366223908918
2021-07-26,14,664.1366223908918
2021-07-27,14,664.1366223908918
2021-07-28,14,664.1366223908918
2021-07-29,14,664.1366223908918
2021-07-30,14,664.1366223908918
2021-07-31,14,664.1366223908918
2021-08-01,14,664.1366223908918
2021-08-02,14,664.1366223908918
2021-08-03,14,664.1366223908918
2021-08-04,14,664.1366223908918
2021-08-05,14,664.1366223908918
2021-08-06,14,664.1366223908918
2021-08-07,14,664.1366223908918
2021-08-08,14,664.1366223908918
2021-08-09,14,664.1366223908918
2021-08-10,14,664.1366223908918
2021-08-11,14,664.1366223908918
2021-08-12,14,664.1366223908918
2021-08-13,14,664.1366223908918
