dates,I,deaths_by_pop
UID,84015007,
iso2,US,
iso3,USA,
code3,840,
FIPS,15007.0,
Admin2,Kauai,
Province_State,Hawaii,
Country_Region,US,
Lat,22.03935037,
Long_,-159.5966786,
Combined_Key,"Kauai, Hawaii, US",
Population,72293,
2021-04-04,1,1.3832597900211638
2021-04-05,1,1.3832597900211638
2021-04-06,1,1.3832597900211638
2021-04-07,1,1.3832597900211638
2021-04-08,1,1.3832597900211638
2021-04-09,1,1.3832597900211638
2021-04-10,1,1.3832597900211638
2021-04-11,1,1.3832597900211638
2021-04-12,1,1.3832597900211638
2021-04-13,1,1.3832597900211638
2021-04-14,1,1.3832597900211638
2021-04-15,1,1.3832597900211638
2021-04-16,1,1.3832597900211638
2021-04-17,1,1.3832597900211638
2021-04-18,1,1.3832597900211638
2021-04-19,1,1.3832597900211638
2021-04-20,1,1.3832597900211638
2021-04-21,1,1.3832597900211638
2021-04-22,1,1.3832597900211638
2021-04-23,1,1.3832597900211638
2021-04-24,1,1.3832597900211638
2021-04-25,1,1.3832597900211638
2021-04-26,1,1.3832597900211638
2021-04-27,1,1.3832597900211638
2021-04-28,1,1.3832597900211638
2021-04-29,2,2.7665195800423277
2021-04-30,2,2.7665195800423277
2021-05-01,2,2.7665195800423277
2021-05-02,2,2.7665195800423277
2021-05-03,2,2.7665195800423277
2021-05-04,2,2.7665195800423277
2021-05-05,2,2.7665195800423277
2021-05-06,2,2.7665195800423277
2021-05-07,2,2.7665195800423277
2021-05-08,2,2.7665195800423277
2021-05-09,2,2.7665195800423277
2021-05-10,2,2.7665195800423277
2021-05-11,2,2.7665195800423277
2021-05-12,2,2.7665195800423277
2021-05-13,2,2.7665195800423277
2021-05-14,2,2.7665195800423277
2021-05-15,2,2.7665195800423277
2021-05-16,2,2.7665195800423277
2021-05-17,2,2.7665195800423277
2021-05-18,2,2.7665195800423277
2021-05-19,2,2.7665195800423277
2021-05-20,2,2.7665195800423277
2021-05-21,2,2.7665195800423277
2021-05-22,2,2.7665195800423277
2021-05-23,2,2.7665195800423277
2021-05-24,2,2.7665195800423277
2021-05-25,2,2.7665195800423277
2021-05-26,2,2.7665195800423277
2021-05-27,2,2.7665195800423277
2021-05-28,2,2.7665195800423277
2021-05-29,2,2.7665195800423277
2021-05-30,2,2.7665195800423277
2021-05-31,2,2.7665195800423277
2021-06-01,2,2.7665195800423277
2021-06-02,2,2.7665195800423277
